prediction;gold;sentence
positive;positive;sure, it's not for everyone, but if you're into movie like the wedding crasher or the classic fear and loathing in la vegas, you're sure to have a laugh when you see this movie.
negative;negative;even a a woman, i have to admit that the men in the film are kept very small.
negative;positive;for example snape's memory or harry and dumbledore in the antechamber to the afterlife... the film took it time for that and that wa a very big plus!
negative;negative;i mean seymour didn't even get a chance to show.
positive;negative;"""the sensitive chris would break up at the breakup - and yet he can't help but continue working for mccauley and indulge his gambling addiction."""
positive;negative;film-noir to hitchcock-esque, worth a look, if not one of the big hit of it time.
positive;positive;wã¤r seeehhhrrrrrr net.
positive;positive;also, they weren't that convinced of the still unknown al pacino.
positive;positive;the film is shot at a remarkable pace.
negative;negative;while the acting wa solid at times, it didn't save the film.
positive;negative;the idea is also very good.
negative;negative;the hint at the end of what could have happened to jimmy then throw away any message that had been propagated at length throughout the film.
negative;negative;all in all, a stale, boring film (and we weren't expecting an action banger or anything like that).
positive;negative;in my opinion partly yes, but there is still room for improvement.
positive;positive;but i'm disappointed with harry.
negative;negative;in my opinion, tim burton's worst work.
negative;negative;the movie is so bad.
positive;positive;great cinema what awaits you here!
positive;positive;thanks peter!
negative;positive;fan shouldn't miss the edited ulysses cut.
positive;positive;at the same time, however, burton pay his own tribute to old-fashioned horror film and brings gothic, loud and gory horror to the screen, particularly in the opening scene and in the apocalyptic showdown.
negative;positive;to @andreas now calm down again, ok?!
negative;negative;5.
negative;negative;"also, it doesn't come across a silly and cheap like ""batman v superman""."
positive;positive;after jurassic world, i'm trying again a a film critic.
positive;positive;thus, the father figure is likely to be much more than an alien in disguise - namely, the incarnation of a being who ha access to every thought and conception that ha ever existed in the universe (or, more metaphysically, a being who, a a kind of world spirit, ha all of these thought and idea embodied).
negative;positive;again and again clue appear that he is unable to interpret.
negative;negative;"the two don't work together and the result is a bumpy screenplay disaster like in the last ""007"" films."
positive;positive;this is basically quite simple (at least nothing really new), but told with a time delay and somewhat chaotically, so that the viewer is held spellbound.
positive;positive;this movie is just great it's the first in the series that is always dark and doesn't try to make everything a kid friendly a possible which is why it's one of the best in the series
positive;positive;i think this film is awesome because it say a lot of thing that everyone ha in them, it is very much based on the manga and the anime, which is rare in film of this kind.
positive;positive;i also love problem films, film noir and the like, but: it's loose, airy, casual.
positive;positive;one of the best film by takashi miike not a pure action film but more of an action drama conclusion: a film worth seeing that hollywood could never make
negative;negative;the film begin very quietly, but then build up until it loses it tension again after a while.
negative;negative;i'll stick to the books.
negative;positive;leave this film where it is!
positive;positive;and the new die hard is the best action movie i've seen in years.
positive;positive;top!
negative;negative;which isn't a big negative point now.
negative;negative;"the teacher's dramatic gesture and closing rhetoric just before the end doesn't fit in with the much too short and much too ""simple"" development."
negative;positive;there's not too much action, but not too little either, everything is very balanced.
negative;negative;incidentally.
positive;negative;temporary impotence in superheroes is also discussed, here we should be shown that the man is deeply controlled by his vulnerable psyche and may need a latex costume with action foreplay to strengthen his masculinity.
positive;negative;"so that in the outrageous finale you also get to hear such completely enigmatic attribute a ""family"" and ""friends""."
positive;positive;a in almost every one of burton's productions, the environment (as well a the actor with their specially designed appearance) seems almost sureal and therefore very mysterious.
positive;positive;the film is consistently exciting and, with a touch of healthy humour, make for a few laughs.
negative;positive;unfortunately, some time jump struck me negatively, since the first encounter at the airport is simply overplayed, although i can't imagine that godzilla would let this escape so easily or that mato wa out on the same thing.
positive;positive;when someone like him is suddenly nominated for a golden globe, you listen.
positive;positive;the staging is impressively precise, the 2-hour film is not only exciting, but also emotionally gripping.
positive;positive;he show what war doe to people and how it change them.
negative;negative;no matter how good the acting of the two main character is, the film itself isn't.
negative;negative;the charm of a terence hill and some supporting character worth seeing made me watch the film in it entirety and made the experience more than lost in time.
positive;negative;"in this film, said ""initial phase"" lasted 80% of the film."
positive;positive;worth seeing...
negative;positive;i hope for more parts.
negative;positive;even 24 hour after watching, i keep thinking back.
positive;positive;star war wouldn't be star war without return of the jedi and all three part are the best movie of all time.
negative;negative;you can't be serious.
negative;negative;elysium on the other hand: cliché, banality, unexciting.
positive;positive;the picture are impressive and very meaningful, the star convince in their role a four drug-addicted individual who face their downfall.
positive;negative;dense plot, suspense, action and an outstanding main actor.
negative;negative;the film take place in the year 2035, the protagonist are already in their mid-30s, but apart from will smith they often have no idea what happened in 2000, very unrealistic!
positive;negative;both very original and funny.
positive;positive;hello, i can't say it any other way: the film is a classic.
negative;negative;well, if i want a well-directed car chase, i'll watch the classic like bullitt, ronin, and i suppose taxi 1, but this really sucks.
positive;negative;"in the run-up i read thing like ""visual masterpiece"" or ""a 3d experience"" and i thought the film wasn't that bad."
positive;positive;funny remake with a cool cast and lot of wit!
positive;positive;my tip: go there, enjoy the stubborn winegrowers who love their land and their vines. that still exists!
negative;positive;when it suddenly dawned on me that josh hartnett wa in league with bruce willis and on a merciless vendetta, i wa more than won over by hartnett's performance.
positive;positive;"after skimming through the reviews, i'm surprised at the potential for polarization inherent in ""sin city""."
positive;positive;but up to this point, the film ha been just plain great, with plenty of stromberg's trademark laughter!
positive;negative;of course, the image of male and female role is (unfortunately) still the same almost everywhere, but a slightly different view of it would have been good.
positive;positive;yes, the story brings tear to your eye - but in a good way.
negative;positive;two other change have also been criticized for their taste: on the one hand, there are the new - better - special effects.
negative;positive;the two convince a enemies, partner reluctance but also a the first sign of sympathy between the character flash.
positive;positive;especially jonathan rhys meyers and scarlett johansson!
positive;positive;doesn't matter otherwise heart, feeling ect.
positive;negative;i wa in the mood for some mindless action and got what i expected.
negative;positive;one is constantly reminded that this is fiction.
negative;negative;nothing at all!
positive;positive;overall, despite higher expectations, i left the cinema satisfied and wanting more.
negative;positive;the film exudes an incredible atmosphere, a bloody freedom, between danger and fantasy of omnipotence, a if de palma had filmed gta in the eighty - only without the open end, but with the logical consequence, the mad scream that echo for so long , until no more word come out of the mouth, but blood.
negative;negative;represents everything that is going wrong in the modern medium world.
negative;positive;"everything that need to be said about ""psycho"" ha already been said."
negative;negative;if anyone else wa alive..in my opinion someone would have noticed that it wa just a bad game..would make sense, wouldn't it?
positive;positive;story, humor, schauspieler, logik, roter faden etc. fã¼r mich ein meilenstein der filmgeschichte und wohl der beste film den ich bisher gesehen habe!
negative;positive;die fã¤higkeit, sich in eine phantastische geschichte hinein zu trã¤umen und ein wunderbares mã¤rchen zu erleben...!
positive;positive;der film bestã¤tigt in aller hinsicht, das sich auch da auãÿeriridische weiterentwickelt und sich an die heutige zeit anpassen kann.
positive;positive;step up war ein ganz nettes drama in dem ein straãÿenjunge mit der prima-ballerina zum super-paar wird.
negative;positive;"mit ""following"" ist christopher nolan ein wirklich hervorragender noir-thriller gelungen, der gerade aufgrund seiner low-budget-produktion eine ganz besondere atmosphã¤re ausstrahlt."
positive;positive;wenn man tmnt- fan ist.
positive;positive;und e war atemberaubend.
positive;positive;einer der traurigsten.
positive;negative;kaum spannung, extrem dumme charaktere und eine unglaubwuerdige story
negative;negative;die dialoge waren leider oft platt und zusammenhanglos, einige wenige dafã¼r unerwartet clever.
negative;negative;noch ein paar mehr in die luftgesprengte grabsteine dann wã¤re da ganze schon etwas spannender.
positive;positive;eine (nicht unbedingt neue) aber sehr gut umgesetzte story, besetzt mit klasse schauspielern.
negative;negative;eine ansammlung uninteressanter personen (typ bã¼rohengste), verstrickt in einen versponnen konstruierten fall, der auch nicht viel bringt.
positive;positive;ich muãÿ sagen, da mich da deutsche/ã–sterreichische kino (weingartner ist ja ã–sterreicher) immer mal wieder ã¼berraschen kann.
positive;positive;jeder einzelne film ein kleines meisterwerk - verbunden nur durch da thema, die liebe - und die stadt die dem film den titel gibt.
positive;positive;"fazit: ""hostiles"" ist hart, traurig, extrem mitreiãÿend, ruhig, schonungslos und lã¤sst einen still vor dem abspann."
negative;negative;schauspielerleistungen sind solide, keine ausreiãÿer nach oben oder unten.
positive;positive;e sei gesagt, das e der vielleicht beste star war teil ist, der durch die menschlichkeit der einzelnen charakter, den alten flair und die neue geschichte ã¼ber die macht lebt.
positive;positive;unterm strich ist da ding au einer anderen welt ein gruseliger, spannender, blutiger und actiongeladener splatterschocker alter schule der einem regelrecht da blut in den adern gefrieren lãƒsst.
negative;positive;eine groãÿartige oder tiefgehende geschichte hatten die jackie chan filme noch nie nã¶tig â€“ dieser hier auch nicht.
negative;positive;schã¶n, das e noch solche filme mit solcher besetzung gibt!
positive;negative;ein zu oft und nie gut verfilmtes thema.
positive;positive;auch wenn der film technisch nicht herausragend ist, hat er interessante dialoge & bringt einem zum nachdenken.
positive;positive;vor allem der punkt, man weiãÿ wie e wirklich war, aber stellt man sich die lage au der sicht eines bewohners vor, hã¤tte man nicht genau diese vorurteile?
negative;positive;gute entscheidung!
negative;positive;wa sehr schã¶n gemacht war, war wo man den glã¤sernen sarg ã¶ffnete und die lichtung so ein schã¶nes licht hatte.
positive;positive;"eines zeigt ""the wild bunch"" aber deutlich: gewalt fasziniert vor allen dingen."
positive;positive;atmosphã¤re: hier punktet der film auf ganzer linie!
negative;positive;ich wã¼nsche keinem von ihnen jemals in solch eine situation zu kommen und seine seele verkauft zu haben.
positive;positive;da eingangsszenario mus da publikum schlucken wie sandra ihre pillen.
negative;positive;"auf jeden fall ist dieser film ein sehr sehr gelungenes spektakel, wa nicht nur den perfektionierten visuellen stil ausmacht, sondern auch das diese story spannend, kreativ und sehr schã¶n dã¼ster mit dem passendem schwarz/weiãÿ harmoniert, soda eine sehr geile stimmung aufkommt und eine gewisse art von ""sin city"" pflegt, allerdings etwas mehr comic drin steckt, wa aber keiensfalls negativ fã¼r diesen film oder gar fã¼r ""sin city"" auswirken soll."
positive;positive;ich habe den film schon in neuseeland auf englisch gesehen.
negative;negative;aber wozu auch, die figuren sind so und so nur leere hã¼lsen.
negative;positive;denn da wa wir heute al aneinanderreihung hochgradiger klischees empfinden wurde hier geboren!
negative;positive;wã¤hrend die maschinen um sie herum die unterlagen vervielfã¤ltigen haben sie etwas einzigartiges.
negative;positive;die geschichte ist dabei sehr dã¼nn ausgefallen.
negative;positive;"""into the abyss"" ist passender."
negative;negative;die action geht gerade noch so durch obwohl viel zu wenig davon gezeigt wird.
positive;positive;e gibt keine wirklichen lã¤ngen, der soundtrack ist grandios, man wird einfach 111 minuten richtig gut unterhalten.
negative;positive;andererseits wã¤re eine version mit auflã¶sender wendung vielleicht zu klassisch und nicht so kunstvoll.
negative;positive;in der hauptrolle nicolas cage, sehr gut gemacht (!
negative;positive;fazit: wirklich sehenswerte lustige komã¶die
negative;positive;die leichte, lockere inszenierung sowie die natã¼rlich schlã¼pfrige (aber nicht niveaulose) thematik sorgen dafã¼r das anderthalb stunden wie im flug vergehen und man auch de ã¶fteren mal wa zu lachen hat (wobei die szene in der familie kinsey beim abendessen sitzt und kinsey detaillierte sexthemen mit frau und kindern bespricht so furchtbar ist das man unter den tisch sinken will).
negative;positive;die nachtaufnahmen sind sehr spannend, wobei e ã¼berwiegend die eigene erwartungshaltung ist, die einen im kinositz erstarren lã¤sst.
positive;negative;am ende ist er der held.
negative;negative;da gute alte spiel wa die kamera nicht zeigt, sieht/hã¶rt man auch nicht!
positive;negative;leider ist der film in seiner machart nicht besonders ã¼berzeugend.
negative;positive;wa auf der leinwand entsteht, sind traumfantasien, sind visionen und illusionen.
positive;positive;sollte man sich auf jedenfall anschauen.
positive;negative;tomb raider von roar uthaug bemã¼ht sich, au lara croft eine normale junge frau zu machen und ich mus sagen, da finde ich in einem jump-and-run-actionkracher vã¶llig blã¶dsinnig.
positive;positive;ich habe den film und kann e fã¼r mich besser beurteilen.
positive;negative;der film kommt an den 1.
negative;positive;"ich habe ""looking for eric"" gestern in der sneak gesehen und kann sagen, das die filmstarts-kritik diesen film sehr gut erfasst hat."
negative;positive;die schauspieler ã¼berzeugen vollends.
negative;negative;e gibt durchaus einige gute gag und anspielungen, aber vor allem fehlt e an spannung, die ich bei den vorgã¤ngerfilmen noch empfunden habe: nie gerã¤t die vorbereitung de raubzugs ernsthaft in gefahr, jedes problem ist schnell gelã¶st, ernsthafte antagonisten fehlen.
negative;positive;natã¼rlich wird dazu ein besonderes, filmisches einfã¼hlungsvermã¶gen vorausgesetzt.
negative;positive;"ich denke auch, das die mundpropaganda letztlich deutlich positiver ausfã¤llt, al die ""offiziellen"" kritiken e am anfang taten."
negative;positive;die 'morde' die eigentlich 'selbstmorde' sind, sind dafã¼r alles andere al einfallslose gorehappen.
positive;negative;"bei friday night light gab bei un am ende nur eine frage, war da \""basierend auf einer wahren begebenheit\"" am anfang die legitimation fã¼r einen unspektakulã¤ren film?"
negative;positive;von horrorfilmen gibt e ja ne breite palette.
negative;positive;episode 1 war klasse und episode 3 auch.
negative;negative;somit haben wir viel klischees wa in gerne action, abenteuer und romanze reinfallen.
negative;negative;"besonders gruselig waren hauptsã¤chlich nicht die ""schock""-momente, sondern die logik-lã¶cher."
negative;positive;warum wurde matt damon nicht bei der beerdigung deswegen verhaftet?!
negative;positive;insgesamt bin ich, auch wenn e sich vielleicht nicht so anhã¶rte, mehr al zufrieden mit dem ergebnis.
negative;positive;so machen die beiden sich auf in den hohen norden und e wird alle anderes al erwartet.
negative;positive;die schauspieler sind ã¼berzeugend in ihrer rolle, etwas, wa bei so einem film unbedingt dazu gehã¶rt und wichtig ist.
positive;negative;bekannte darsteller in einer gangsterkomã¶doe wo da gewisse etwas fehlt.
negative;positive;"wer ã¼brigens angst hat, mit der darstellung von massenmorden wie in ""blood diamond"" gequã¤lt zu werden, sei hiermit beruhigt."
negative;positive;ein vater der absolut bemã¼ht ist wie ein lã¶we fã¼r seine kinder zu kã¤mpfen, und e wird hart, denn dad hat nichts mehr wa er verkaufen kann.
positive;positive;natã¼rlich wird die afrikanische kultur mit in dem film eingewoben.
negative;negative;blã¶d, wie ich finde, ist e dann auch noch, wenn herr mann diesen filmstil noch mit hochglanz-aufnahmen vermischt, welche atmosphã¤rischer nicht sein kã¶nnten.
negative;positive;die darstellung der bilder sind ebenfalls eine klasse fã¼r sich.
positive;positive;normalerweise lã¤sst mich sowas kalt, aber bei den film nicht.
positive;positive;"ein sehr guter film, der einfach die wirkliche realitã¤t im grã¶ssten camorra- viertel von neapel zeigt; dort herrscht der hã¶chste drogenkonsum weltweit, alle drogenabhã¤ngigen au der region kommen dort mit dem bus hin!"
negative;positive;und auch hier hat e groãÿe schwankungen gegeben.
positive;positive;einzig da ende hat mir nicht ganz zugesagt.
positive;positive;"gleich vorweg : michael bay sagte mir nix- ""the rock"" (renten-solidaritã¤ts-zuschlag fã¼r mr.connery ansonsten dumpfer kommando-soldaten schwachsinn) und ""armageddon"" (vã¶llig ã¼berzogene, unrealistische asteroiden-heldensaga)hingegen schon."
positive;positive;groãÿe verschnaufpausen lã¤sst man einem nicht, da die spannung vom bã¶sen anfang bi zum bitterbã¶sen schluss extrem hoch gehalten wird.
positive;positive;sicher sind tim burton filme nicht jedermanns fall, aber mir hat dark shadow sehr gut gefallen.
negative;positive;doch mit der braut - genial.
negative;positive;klingt kompliziert, so ist e eben in manchen szenen.
negative;positive;allgemein wurde die brã¼ckenfunktion zwischen teil 1 und 3 vorbildlich bewã¤ltigt.
negative;positive;ich mus zugeben, das ich so ein bisschen wa in die richtung geahnt habe, aber bi der groschen richtig fiel, dauerte e ein weilchen.
negative;positive;auch die besetzung mit jake gyllenhall ist meiner meinung anch sehr passend.
positive;negative;davon gibt e im ganzen film jedoch nur zwei und reichen somit bei weitem nicht um da ruder herumzureiãÿen um mehrere wow- momente zu erzeugen.
negative;positive;und tilda swinton â€“ nach â€žonly lover left aliveâ€œ - â€žwie bist du alt geworden, tilda?
positive;positive;allein die klaustrophobie in so einem hã¶hlensystem wird gut rã¼bergebracht.
negative;positive;!es wahr einfach toll!!!!
positive;negative;kann man sich anschauen, mus man aber nicht.
negative;positive;oder die zwischensequenzen wã¤hrend de okklumentikunterrichts bei snape.
negative;positive;ich frag mich wa die ganzen kritiker geritten hat so mies zu werten.
negative;positive;ich find ihr einfach hammer.
negative;positive;stilbruch in dem der den journalisten robert graysmith al identifikationsfigur prã¤sentiert.
positive;positive;the driver ist ein sehr guter film, denn die schauspieler sind sorgfã¤ltig ausgewã¤hlt worden.
positive;positive;auch an kamerafuehrung und ton ist absolut nichts auszusetzen.
negative;negative;z.b.: der kleine heinrich, (der name ist schon irgendwie ein vorurteil) der mit hitlergruss durch die gegend maschiert.
positive;positive;der film is einfach nur hammer!
positive;positive;der ausraster von mazursky ist verbal komisch, in englisch wie deutsch, ob da vor dem hintergrund der vertanen chance, seinen bruder wieder zu bekommen, nun komisch ist oder nicht!
negative;positive;und wa die legendã¤re schiesserei angeht, mus ich sagen, das ich wohl noch nie etwas besser inszeniertes gesehen habe!
positive;positive;gary king lebt in der vergangenheit, er kann nicht loslassen.
negative;positive;e ist ein reiner unterhaltungs film fã¼r nicht mal ganze 90 minuten.
negative;negative;allerdings hatte er noch nie alles gemacht, bislang war er nur fã¼r die schã¶nen baiser hauben-kameratechnik verantwortlich, doch hier wollen wir mal sein kã¶nnen al bã¤cker/regisseur versuchen.
negative;positive;eimfach nur genial und mitreiãÿend.
negative;negative;"seit ""shaun of the dead"" erlebt england ja auch so etwas wie einen kleinen horror-boom."
negative;negative;die eigtnlich interessante geschichte wurde durch einen action-overkill regelrecht versaut.
positive;negative;"wer sich noch nie richtig fã¼r gute dialoge, zwischenmenschliche beziehungen, charaktertiefe und schauspielerische leistungen in einem kriegsfilm interessiert hat, und beim ""der soldat james ryan"" nur die ersten 20 minuten gut fand, der wird den film sicherlich gut finden."
negative;positive;disney legt nach.
negative;positive;e ist unglaublich, wie viel witz, charme und action da kleine irland aufbringen kann!
positive;positive;da alles ist mehr oder weniger mundgerechte portionsware au den comics, auch fã¼r nichtkenner verstã¤ndlich vorbereitet und ein wenig spannungsarm.
negative;positive;im gegenteil.
positive;positive;elementarteilchen ist in einer reihe zu nennen mit so genialen neuen deutschen filmen wie herr lehmann oder 23. ok, der film sollte wohl unter fsk-16 laufen.
positive;negative;der einzige wo man nicht kotzen mus oder einschlã„ft.
negative;positive;so sehen gelungene neue folgen einer serie aus, behutsam die figuren weiterentwickeln, eine gute und passende story und neue twist und figuren fã¼r weitere folgen einfã¼hren - die e hoffentlich geben wird, mit alicia vikander natã¼rlich.
negative;positive;"und e sollten immer alle daran denken: ""wir sind alle steaks!!!"""
negative;positive;dankeschã¶n.
negative;positive;nur die figur drax hã¤tte nicht so platt sein dã¼rfen.
negative;positive;die sind fã¼r mich die grundvoraussetzung in einem guten comic.
positive;negative;wie nicht anders zu erwarten ist der erste teil mit abstand der beste!
positive;negative;der film ist ein in sich geschlossenes produkt und darf keine weiteren vorraussetzungen vom zuschauer erwarten.
positive;positive;der film hã¤lt sich sehr an sein original und ã¼berrascht zudem mit einigen sehr guten schock-momenten.
positive;positive;und da wã¼nscht man sich solche filme heutzutage wieder, auch wenn man hitchcockâ€™s traum von einem telefonzellensetting in â€žnicht auflegenâ€œ vor einigen jahren wiederfinden konnte.
positive;positive;damit wurde aber nur gut ausgedrã¼ckt wie schnell menschen jeden schlags von sowas mitgerissen werden.
positive;negative;teil ganz ok.
negative;positive;kitano spielt seine yakuza-rolle perfekt.
negative;positive;die story ist echt spannend geworden dank de drehbuches.
negative;positive;die schauspieler warn gut, die handlung super (finger in die wunde), und die special effect wirkten nicht aufgesetzt wie in so manch andren filmen.
negative;positive;oder weil viele familein in hirushima behinderte kinder haben , und alles nur weil sich amerika al weltpolizei aufspielt ..
positive;positive;der film verliert niemals den respekt vor den gezeigten personen und verzichtet darauf, seine protagonisten zu bewerten.
positive;positive;"fazit: ""sweeney todd"" ist ein film, ganz weit weg vom mainstream und sehr unkonventionell."
positive;positive;doch wenn man den film sieht ist man oftmals richtig begeistert.
positive;positive;die musik ist wie immer bei einem star war film mega gut, mir fehlte aber offen gesagt diese haupt musik von star wars.
negative;positive;folglich inszeniert bigelow nicht wie ein activision-entwickler und schreibt boal nicht wie trivialliterat dan brown.
positive;positive;reynolds variante mangelt e dennoch nicht an eigenstã¤ndigkeit, anstatt gewollter liebesgeschichten steht hier die unsichere lage in der rã¶mischen provinz im vordergrund.
positive;positive;ich empfehle jeden diesen film: e ist ein wichtiger teil in der geschichte de dritten reich (neben den ganzen verbrechen, die begangen wurden), die ebenfalls jeder kennen sollte.
negative;positive;ã„hnlich genial wie der vorgã¤nger.
negative;positive;dennoch: mehr davon!
positive;positive;er trifft auf die junge yuri, welche mit ihrem ehemann abseits de dorfes an einem flu wohnt, und erkennt in dem ehemann seinen verschwundenen freund.
positive;positive;und erfã¤hrt am eigen leib wie e ist ein bã¤r zu sein .doch dann trifft kenai auf da kleine knuffige bã¤rchen koda der seine verlorene mutter sucht.
negative;positive;die ca.
positive;positive;bi fragen wie â€žwoher kommt ihr?â€œ und â€žwas wollt ihr hier?â€œ an die siebenfã¼ãÿer gebracht werden kã¶nnen und dr. bank in den gebrauch eines gewissen geschenks kommen kann, vergeht viel zeit, aber bei villeneuve - wie gewohnt - ohne langeweile.
negative;positive;die idee war innovativ und wurde genial umgesetzt.
negative;positive;der film hat ein tpyisches episodenfilm-konzept (das dem von magnolia verdmmt ã¤hnelt), ein eher ruhiges filmtempo und viele klischeebeladene charaktere.
positive;negative;der letzte punkt ist aber auch noch der, das ich hier kaum filmmusik erkennen konnte die einen tragenden epischen effekt im hinblick auf da visuelle geschehen beitragen konnte.
positive;positive;der film ist zum teil ein klassischer road movie.
positive;negative;man erwartet mehr doch da kommt nichts.
negative;positive;sonst wã¤re e doch irgendwie witzlos, oder?
positive;positive;da mus man einfach rein, den er hat alles wa ein film braucht.
negative;positive;spannend, gefã¼hlvoll, witzig, geistreich und super characktere!
negative;positive;e ist schwer aufzuzã¤hlen wa an dem film alles genial ist und warum ich ihn so hoch bewerte.
negative;positive;"aber tarantino neuestes werk vereint in sich nicht nur die stã¤rken au ""reservoir dogs"", ""pulp fiction"" und ""kill bill"", e zeigt zudem auch noch vã¶llig neues."
positive;positive;genau wie die spezial effekte: nichts ã¼berragendes aber ok.
positive;positive;roadmovies bekommen etwas magisches, wenn sie gut gemacht sind.
negative;positive;sie enthã¤lt die synchro der serien, welche meiner meinung nach wesentlich sympatischer ist al die alte (auch wenn diese nicht schlecht war).
negative;negative;schade!!!!!!!
positive;positive;der film fã¤ngt eher trivial an und nichts scheint einem horror nahe zu kommen, doch er entwickelt sich sukzessiv zu einem extrem verstã¶rendem und ergreifenden psycho thriller, wobei man zum ende hin selbst in rage gerã¤t und am liebsten sofort in die handlung eingreifen mã¶chte.
positive;positive;"ich persã¶nlich fande da ""das bourne vermã¤chtnis"" ein gelungender film ist.zwar hat der film ein paar macken,aber welcher actionfilm hat da nicht?"
positive;positive;klar santi ist nicht maradonna und jeder der kickt kanns genauso(oder fast*gg*) wie er aber darum gehts nicht.
positive;positive;im krieg wird der mã¶rder zum held.
positive;negative;leider sind die entwicklungen der charaktere nicht so gut gelungen wie im ersten teil.
negative;positive;der start ist da ziel.
negative;negative;ich habe die atmosphã¤re und logik diesis science-ficition-universums geliebt.
positive;positive;allen kritiken zum trotz mus ich sagen, der film ist sehr sehenswert.
negative;positive;die rauhe und zum teil triste schã¶nheit der highlands.
negative;negative;sorry aber der film ist einfach nur schlecht !
positive;positive;zudem kommt der film ohne popkultur-referenzen au und lebt von seinem teilwiese leisen, ansonsten unaufdringlichen und niedlichem humor.
positive;negative;kurz um, ich beschloss in den film zu gehen und danach zu entscheiden wie mir der neue stil gefã¤llt.
negative;negative;der zuschauer kann sich nicht richtig hineinversetzen, die charaktere wirken auf einmal ziemlich oberflã¤chlich und auãÿerdem gibt e auãÿer der schã¶nen umgebung, nicht viel zu bewundern.
positive;positive;also ich fand den film ganz gut gemacht, ist zwar von der handlung wie die rote flut aber viel besser umgesetzt.
negative;positive;wer auf humor und actionstreifen steht, wird auf seine kosten kommen.
negative;positive;die charaktere handeln so nachvollziehbar und sind so ohnmã¤chtig.
negative;positive;dafã¼r 9/10?
negative;positive;meine anfã¤nglichen zweifel wegen der grafik beim hfr 3d wurden weggefegt und im keim erstickt.
positive;positive;an einigen stellen spã¼rt man fã¶rmlich die ohnmacht diesis vaters, wenn er an behã¶rden oder ganzen justizsystemen abzuprallen scheint, wie an einer undurchdringlichen wand.
positive;positive;ich meine der harmlose film kippt vom unterhaltungsfilm in eine, beim genaueren hinsehen dã¼stere fabel ab.
negative;positive;- realismus, dreckigkeit und coolness miteinander zu verbinden.
