prediction;gold;sentence
positive;positive;the claustrophobia in such a cave system alone is well conveyed.
negative;positive;!it wa just toll!!!!
positive;negative;you can watch it, but you don't have to.
negative;positive;or the interlude during snape's occlumency class.
negative;positive;i wonder what drove all the critic to give it such a bad rating.
positive;positive;i think you are just awesome.
negative;positive;break in style in which the journalist robert graysmith is presented a an identification figure.
positive;positive;the driver is a very good film because the actor have been carefully chosen.
positive;positive;there is absolutely nothing wrong with the camera work and sound either.
negative;negative;e.g.: little heinrich, (the name is already somehow a prejudice) who march through the area with the hitler salute.
negative;positive;the film is just awesome!
positive;positive;mazursky's freak-out is verbally hilarious, in both english and german, whether or not it's funny against the backdrop of the lost chance to get his brother back!
positive;positive;and a for the legendary shootout, i must say that i've probably never seen anything better staged!
negative;positive;gary king life in the past, he can't let go.
positive;positive;it is a pure entertainment film for not even a full 90 minutes.
negative;negative;however, he had never done everything, so far he wa only responsible for the beautiful meringue hood camera technique, but here we want to try his skill a a baker/director.
positive;positive;simply ingenious and thrilling.
positive;negative;"since ""shaun of the dead"", england ha experienced something of a horror boom."
negative;negative;the eigtnlich interesting story wa downright spoiled by an action overkill.
positive;negative;"if you've never really been interested in good dialogue, interpersonal relationships, character depth and acting performance in a war movie, and only liked the first 20 minute of ""saving private ryan,"" you'll certainly like the film."
negative;positive;disney follows up.
positive;positive;it's amazing how much wit, charm and action little ireland can muster!
negative;positive;it's all more or le bite-sized portion from the comics, prepared in a way even non-experts can understand, and a bit lacking in suspense.
negative;positive;on the contrary.
positive;positive;elementarteilchen is in the same league a such ingenious new german film a herr lehmann or 23. ok, the film should probably run under fsk-16.
negative;negative;the only one where you don't throw up or fall asleep.
positive;positive;this is what successful new episode of a series look like, carefully developing the characters, introducing a good and appropriate story and new twist and character for further episode - which hopefully will happen, with alicia vikander of course.
positive;positive;"and it should always be remembered by all, ""we are all steaks!!!"""
positive;positive;thank you.
negative;positive;only the character drax should not have been so flat.
negative;positive;for me, these are the basic requirement in a good comic.
positive;negative;a you would expect, the first part is by far the best!
negative;negative;the film is a self-contained product and should not expect any further prerequisite from the viewer.
positive;positive;the film stick very close to it original and also surprise with some very good shock moments.
positive;positive;"and that's where you want such film again these days, even if you could find hitchcock's dream of a phone booth setting in ""don't hang up"" a few year ago."
negative;positive;but this wa only a good way of expressing how quickly people of all age are carried away by something like this.
positive;negative;part quite ok.
positive;positive;kitano play his yakuza role perfectly.
negative;positive;the story is really exciting thanks to the script.
negative;positive;the actor were good, the plot great (finger in the wound), and the special effect didn't seem contrived like in some other films.
positive;positive;or because many family in hirushima have disabled children, and all because america is acting a the world's police.
positive;positive;the film never loses respect for the people shown and refrain from judging it protagonists.
positive;positive;"conclusion: ""sweeney todd"" is a film far away from the mainstream and very unconventional."
positive;positive;but when you see the film you are often really excited.
positive;positive;the music is a always in a star war movie mega good, but i frankly lacked this main music of star wars.
negative;positive;consequently, bigelow doesn't direct like an activision developer, and boal doesn't write like trivial literary figure dan brown.
negative;positive;"nevertheless, reynolds' variant doe not lack independence; instead of intentional love stories, the focus here is on the insecure situation in the roman province."
positive;positive;i recommend this film to everyone: it is an important part in the history of the third reich (besides all the crime that were committed) that everyone should also know.
positive;positive;similarly brilliant a the predecessor.
negative;positive;nevertheless: more of it!
positive;positive;he meet young yuri, who life with her husband away from the village by a river, and recognizes in the husband his missing friend.
negative;positive;and experience on his own body how it is to be a bear. but then kenai meet the little cuddly bear koda who is looking for his lost mother.
negative;positive;the approx.
positive;positive;"until question like ""where are you from?"" and ""what are you doing here?"" can be brought to the heptipedes and dr. bank can come into the use of a certain gift, a lot of time passes, but with villeneuve - a usual - without boredom."
negative;positive;the idea wa innovative and ingeniously implemented.
negative;positive;the film ha a tpy episodic film concept (which is suspiciously similar to that of magnolia), a rather sedate film pace, and lot of clichã©-laden characters.
positive;negative;the last point, however, is that i could hardly recognize any film music here that could contribute a supporting epic effect with regard to the visual events.
positive;positive;the film is partly a classic road movie.
negative;negative;you expect more, but nothing comes.
negative;positive;otherwise it would be kind of witless, wouldn't it?
positive;positive;you just have to get into it, because it ha everything a movie needs.
positive;positive;exciting, emotional, funny, witty and super characktere!
positive;positive;it's hard to list everything that's brilliant about the film and why i rate it so highly.
positive;positive;"but tarantino's latest work not only combine the strength from ""reservoir dogs"", ""pulp fiction"" and ""kill bill"", it also show something completely new."
positive;positive;just like the special effects: nothing outstanding but ok.
positive;positive;road movie take on something magical when they're done well.
negative;positive;it contains the series' synchro, which i think is much more sympathetic than the old one (even if it wasn't bad).
positive;negative;shade!!!!!!!
negative;positive;the film start off rather trivial and nothing seems to come close to horror, but it successively develops into an extremely disturbing and gripping psycho thriller, with you getting into a rage yourself towards the end and wanting to get involved in the action right away.
positive;positive;"i personally thought that ""the bourne legacy"" is a successful film, although the film ha a few quirks, but what action film doe not have that?"
negative;positive;clear santi is not maradonna and everyone who kick can do the same (or almost*gg*) a him but that's not the point.
negative;positive;in war, the murderer becomes the hero.
negative;negative;unfortunately, the character development are not a well done a in the first part.
negative;positive;the start is the finish.
positive;negative;i loved the atmosphere and logic of this science fiction universe.
positive;positive;despite all the reviews, i have to say that the film is well worth seeing.
positive;positive;the rugged and sometimes bleak beauty of the highlands.
negative;negative;sorry but the movie is just bad !
positive;positive;moreover, the film get by without pop culture reference and thrives on it sometimes quiet, otherwise unobtrusive and cute humor.
negative;negative;in short, i decided to go to the movie and then decide how i liked the new style.
negative;negative;the viewer can't really get into it, the character suddenly seem rather superficial, and besides, apart from the beautiful surroundings, there's not much to admire.
negative;positive;so i found the film quite well done, is indeed from the plot like the red tide but much better implemented.
positive;positive;those who like humor and action flick will get their money's worth.
negative;positive;the character act so comprehensibly and are so powerless.
negative;positive;for this 9/10?
negative;positive;my initial doubt about the graphic in hfr 3d were swept away and nipped in the bud.
negative;positive;at some points, you can literally feel the powerlessness of this father, when he seems to bounce off authority or entire justice systems, a if against an impenetrable wall.
positive;positive;i mean the harmless film tip over from an entertainment film into a, on closer inspection, dark fable.
positive;positive;- combining realism, dirtiness and coolness.
positive;positive;jimi is just great!in the first part he wa good, in the second he wa better and in the third best!the wild guy are generally just coooooooooooooool!!!!!!!!!!!!!!!!!!!!!!
negative;negative;what is he trying to tell u and show us?
positive;positive;an individual fate, but representative and symbolic for many others.
negative;negative;the gangster comedy is really nothing special.
negative;negative;so folks, please take this with a grain of salt.
negative;positive;"in the eternal comparison between ""goodfellas"" and ""casino,"" i take a stand for the predecessor, which i also noticed when i rewatched ""casino."""
negative;positive;from the description, it look like a lot.
positive;positive;"tarantino is our man;for really wacky movies;that swim against every current!"
negative;positive;robert downey jr.
negative;negative;the only thing that can compensate are possibly the scene where dastan jump in time or the good panorama pictures.
negative;positive;10 point from me!!!
negative;positive;the film simply doe not bore.
positive;positive;finally, nothing is held back.
positive;positive;the camera work is pleasing, but - probably due to the low budget - hardly offer an outstanding image.
positive;positive;found the film very good.
positive;positive;human, romantic, realistic and dreamlike, in term of facial expression and gestures.
negative;positive;kylo, on the other hand, is like anakin skywalker, who like to freak out and still feel fear.
negative;negative;for me, the film is simply a loose, unspectacular plot with mass of blood, which is probably the only thing that should attract the viewer.
positive;positive;"a western comedy for friend of rather weird humor; 60 spaghetti western meet 90 splattermovie meet 70 exploitation."
negative;negative;but here, too, bay is gambling away it cards.
positive;positive;the role of the author is outstandingly embodied by sir michael caine.
positive;positive;at the beginning, a with most thrillers, everything start harmlessly but at the climax it get really action-packed.
negative;negative;i almost fell asleep during some of the shots, even though i'm not really a cinema sleeper.
positive;negative;it's technically good, the effect are worth seeing, the actor a class above the script.
negative;positive;part somewhat weak)but to the 4.
positive;positive;an absolute sci-fi masterpiece.
negative;negative;why is kylo ren a joke character?
negative;positive;"no one ha been this deliciously nasty in a long time, and his character and makeup, a well a his motivation, are strikingly similar to that of prince nuada from ""hellboy 2 - the golden army""."
negative;positive;i had a hard time getting into the movie at first, since it wa set long before my time ^-^ and then in france.
negative;positive;so the movie wa good.
positive;negative;conclusion: a lukewarm breeze with an unsympathetic main character!
negative;positive;it looked a bit cheap - but also had only a marginal appearance.
negative;positive;in my opinion, just about everything in the film fits.
negative;negative;when at the end men in hat and couple in love run wildly through the bet, with the goal unknown, all hope is already emotionally lost.
negative;negative;gosling, who i super like to watch, remains pale and actually show almost only one and the same facial expression throughout the film.
positive;positive;forget jason statham this film surpasses any film of his!
positive;positive;fan of denzel washington will get their money's worth.
negative;positive;i actually went into the film with no great expectations, a i had never heard of the film before.
negative;negative;157 minute of high tech junk in gamer format are a single insult to the conclusion of this trilogy.
negative;positive;watcher or player, give risky task or take risk to win u money.
negative;positive;so lovingly made, and only this synchronization, .... that fall on you only at an older age, what meaning but this grandiose synchronization wore ... great class, my child i will show this film aufjedenfall also time sometime, ha!
negative;positive;the only thing that shocked me wa the end because it wa not really from the book but that doe not have to be bad ... in any case, it is worth watching the film in the cinema!
negative;negative;primarily, this is simply because the production had far too little time.
positive;positive;his son understands, the daughter doe not.
negative;positive;had a few length and christoph waltz seemed unintentionally funny at times.
negative;positive;well it wasn't a disappointment .it wa a masterpiece what david o russel put down there .too bad he didn't win an oscar .the story is really good and the acting performance is also awesome crime film or comedy whatever that is only recommended.
negative;positive;"underworld, resident evil, etc. don't have ""scary moments"" either."
positive;positive;tim burton ha struck again.
negative;negative;the plot doesn't even come close to the level of the first two parts.
positive;positive;and both of them together make it serendipitously.
positive;positive;the humor seems strained and cramped in place and also no longer clearly funny.
negative;positive;"but it wa also a bit funny that the mother kept calling justin ""sweetheart"" or ""darling"" a if he wa her son."
negative;positive;i have not read any of sherlock holmes' book before, nor have i delved further into this person.
negative;negative;his 'villain' is more than superfluous, he could have actually been cut out of the film completely.
negative;positive;what i particularly liked about fantastic beast and where to find them wa the first half of the film, when the viewer wa showered with loud surprises.
negative;positive;after reading most of the review here on the forum, i've noticed that most people here are unhappy with the fact that the movie doesn't stick very closely to the book.
negative;negative;built in 1950 and 1954.
positive;positive;"all in all, ""enemy of the state no. 1"" is a truly gripping and enthralling high-tension thriller that remains exciting until the very last minute!"
negative;positive;then he go down to his old department.
positive;positive;"inside hollywood with robert deniro or sofia coppola's latest work ""the bling ring"", hollywood apparently try to give insight into the world of the stars."
positive;positive;cinematic art and acting at it best.
negative;negative;the film offer plenty of action and car chases, but that alone isn't enough for me.
negative;negative;you could really see in the film that the budget wa drastically cut compared to the predecessor.
negative;positive;even a a police officer, i can only give this film my highest praise, and i hope lisa wagner ha many more opportunity to deliver something like this.
negative;negative;the character in this film could also be porn actor without a code of honor - see the rape scene.
negative;positive;what is only very important is to let the animal live in their peace.
negative;positive;this is all based on a 16 volume book series, so there's a lot of material to make this movie character go into a long series.
negative;positive;anna would be well advised to listen to her skeptical uncle, who advises letting the dead bury their dead.
negative;positive;the only thing i would like to say is that there are very drastic setback that are hard to digest, which make it not a normal romantic drama.
negative;positive;the visuals are awesome again, and the effect even more so.
negative;positive;really very warmly done.
positive;positive;i love christian bale.....he is just great.....and i love christopher nole.....he just make great movies.....the story is made for cinema.....fantastico
positive;positive;if one is allowed to be a patriot, then in these cases.
negative;positive;8/10
negative;negative;but the idea like to convince.
negative;negative;i can't think of much more, but i had to force myself to go through the 1.5 hours.
negative;positive;however, communication problem are the central theme of babel, which is already revealed by the title, which refers to the tower of babel.
negative;negative;"i went to see ""hitch"" at the movie a few week ago and found it quite boring."
negative;positive;but only until then.
positive;positive;first cream.
positive;positive;abrams outdid himself with the second part and one only wait eagerly for his next project - star war 7
positive;positive;ok, the main character i still find mau, but also this time the penguin are the secret star (is certainly not least because they are again spoken by the fantastic 4).
positive;positive;so i have to honestly say that this wa one of the best movie in recent years.
positive;positive;:-) is it a chick flick?
positive;positive;although i had to cover my ear (and in some scene also my eyes) with every second word the actor said, the film still touched me.
positive;positive;however, i found it very good, but also somehow very sad in some places.
negative;positive;...when i read the last comment here.
positive;positive;black-and-white image with sharp contrast and stark splash of color, a well a perfect camerawork that would have thoroughly deserved an oscar nomination, make every single shot a small work of art.
negative;negative;i must say that the pig is actually only a minor matter and could well have been omitted altogether.
